Matrix Size,Number of Workers,Execution Time (ms)
400,1,16.985260
800,1,138.003600
1200,1,427.923600
1600,1,1568.040000
2000,1,2049.366000
2400,1,4995.338000
2800,1,7660.310000
3200,1,19133.600000
400,2,119.974000
800,2,194.092600
1200,2,372.042200
1600,2,1027.644000
2000,2,1324.936000
2400,2,2966.566000
2800,2,4532.450000
3200,2,10866.000000
400,4,116.014200
800,4,156.637400
1200,4,242.736400
1600,4,602.329000
2000,4,750.455000
2400,4,1670.692000
2800,4,2535.768000
3200,4,5911.464000
400,8,117.769600
800,8,144.065200
1200,8,190.355800
1600,8,363.147600
2000,8,434.522400
2400,8,936.122800
2800,8,1404.786000
3200,8,3214.550000
400,12,120.579000
800,12,143.472600
1200,12,183.247000
1600,12,300.341200
2000,12,360.172000
2400,12,644.636600
2800,12,774.370000
3200,12,1797.184000
400,16,122.435000
800,16,147.806000
1200,16,183.236200
1600,16,279.091200
2000,16,334.929600
2400,16,549.460400
2800,16,651.844400
3200,16,1367.082000
400,20,127.002200
800,20,151.808600
1200,20,192.291200
1600,20,332.356000
2000,20,430.294400
2400,20,747.143200
2800,20,1043.404000
3200,20,2161.640000
