Matrix Size, Number of Workers,Execution Time (ms),Speedup,Efficiency
400,1,16.9221,1,1
800,1,139.737,1,1
1200,1,428.3018,1,1
1600,1,1562.868,1,1
2000,1,2049.378,1,1
2400,1,5014.584,1,1
2800,1,7751.972,1,1
3200,1,19288.28,1,1
400,2,120.884,0.14,0.07
800,2,194.051,0.72,0.36
1200,2,375.4856,1.14,0.57
1600,2,1032.86,1.51,0.76
2000,2,1326.634,1.54,0.77
2400,2,2970.352,1.69,0.84
2800,2,4508.656,1.72,0.86
3200,2,10817.76,1.78,0.89
400,4,116.8054,0.14,0.04
800,4,157.78,0.89,0.22
1200,4,245.0692,1.75,0.44
1600,4,604.0206,2.59,0.65
2000,4,736.1124,2.78,0.7
2400,4,1699.868,2.95,0.74
2800,4,2540.4,3.05,0.76
3200,4,5946.964,3.24,0.81
400,8,117.3724,0.14,0.02
800,8,143.9306,0.97,0.12
1200,8,194.2488,2.2,0.28
1600,8,363.2114,4.3,0.54
2000,8,436.0094,4.7,0.59
2400,8,923.7962,5.43,0.68
2800,8,1434.698,5.4,0.68
3200,8,3210.784,6.01,0.75
400,12,120.905,0.14,0.01
800,12,144.1198,0.97,0.08
1200,12,184.0262,2.33,0.19
1600,12,299.2998,5.22,0.44
2000,12,357.7458,5.73,0.48
2400,12,638.0544,7.86,0.65
2800,12,779.6278,9.94,0.83
3200,12,1780.992,10.83,0.9
400,16,122.5874,0.14,0.01
800,16,146.7114,0.95,0.06
1200,16,183.3124,2.34,0.15
1600,16,279.1112,5.6,0.35
2000,16,332.8254,6.16,0.38
2400,16,545.9128,9.19,0.57
2800,16,652.4958,11.88,0.74
3200,16,1393.918,13.84,0.86
400,20,126.5564,0.13,0.01
800,20,154.043,0.91,0.05
1200,20,194.6332,2.2,0.11
1600,20,333.1096,4.69,0.23
2000,20,428.1666,4.79,0.24
2400,20,750.9776,6.68,0.33
2800,20,1040.208,7.45,0.37
3200,20,2108.002,9.15,0.46
