Matrix Size,Nodes,Number of Processes,Execution Time (ms),Speedup,Efficiency
400,1,1,17.4437,1,1
400,1,2,9.72702,1.81,0.9
400,1,4,10.96027,1.6,0.4
400,1,8,8.14314,2.16,0.27
400,1,12,8.83545,1.99,0.17
400,1,16,5.86608,3,0.19
400,1,20,10.85094,1.62,0.08
800,1,1,140.6912,1,1
800,1,2,75.49284,1.86,0.93
800,1,4,47.6926,2.95,0.74
800,1,8,48.6645,2.89,0.36
800,1,12,49.25064,2.86,0.24
800,1,16,22.74028,6.19,0.39
800,1,20,49.17548,2.86,0.14
1200,1,1,430.0512,1,1
1200,1,2,224.5234,1.92,0.96
1200,1,4,133.6262,3.22,0.8
1200,1,8,94.62584,4.54,0.57
1200,1,12,110.27116,3.9,0.32
1200,1,16,55.05826,7.81,0.49
1200,1,20,93.54132,4.6,0.23
1600,1,1,1565.402,1,1
1600,1,2,798.5554,1.96,0.98
1600,1,4,479.8756,3.26,0.82
1600,1,8,267.8192,5.84,0.73
1600,1,12,253.782,6.17,0.51
1600,1,16,154.397,10.14,0.63
1600,1,20,251.9048,6.21,0.31
2000,1,1,2067.664,1,1
2000,1,2,1060.498,1.95,0.97
2000,1,4,604.8018,3.42,0.85
2000,1,8,361.0544,5.73,0.72
2000,1,12,279.5624,7.4,0.62
2000,1,16,207.1998,10,0.62
2000,1,20,386.9782,5.34,0.27
2400,1,1,4993.222,1,1
2400,1,2,2466.054,2.02,1.01
2400,1,4,1436.478,3.48,0.87
2400,1,8,798.1512,6.26,0.78
2400,1,12,594.086,8.4,0.7
2400,1,16,437.3326,11.42,0.71
2400,1,20,738.4596,6.76,0.34
2800,1,1,7699.324,1,1
2800,1,2,3108.384,2.48,1.24
2800,1,4,2037.132,3.78,0.94
2800,1,8,1125.426,6.84,0.86
2800,1,12,853.8702,9.02,0.75
2800,1,16,582.1912,13.22,0.83
2800,1,20,1096.946,7.02,0.35
3200,1,1,19092.78,1,1
3200,1,2,7339.316,2.6,1.3
3200,1,4,4825.638,3.96,0.99
3200,1,8,2484.836,7.68,0.96
3200,1,12,1979.9,9.64,0.8
3200,1,16,1436.912,13.29,0.83
3200,1,20,2354.518,8.11,0.41
